# FDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
00 | 1 | 2 | RLC  | LD B, RLC (IY+d)    |    B | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,B=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
20 | 1 | 2 | SLA  | LD B, SLA (IY+d)    |    B | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,B=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
21 | 1 | 2 | SLA  | LD C, SLA (IY+d)    |    C | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,C=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
22 | 1 | 2 | SLA  | LD D, SLA (IY+d)    |    D | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,D=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
23 | 1 | 2 | SLA  | LD E, SLA (IY+d)    |    E | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,E=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
24 | 1 | 2 | SLA  | LD H, SLA (IY+d)    |    H | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,H=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
25 | 1 | 2 | SLA  | LD L, SLA (IY+d)    |    L | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,L=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
26 | 1 | 2 | SLA  | SLA (IY+d)          |      |        | (c,$(IY+d))=($(IY+d),0)<<1                   | Shift left-arithmetic memory $(IY+{d})
27 | 1 | 2 | SLA  | LD A, SLA (IY+d)    |    A | (IY+d) | (c,$(IY+d))=($(IY+d),0)<<1,A=$(IY+d)         | Shift left-arithmetic memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
28 | 1 | 2 | SRA  | LD B, SRA (IY+d)    |    B | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,B=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
29 | 1 | 2 | SRA  | LD C, SRA (IY+d)    |    C | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,C=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
2a | 1 | 2 | SRA  | LD D, SRA (IY+d)    |    D | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,D=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
2b | 1 | 2 | SRA  | LD E, SRA (IY+d)    |    E | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,E=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
2c | 1 | 2 | SRA  | LD H, SRA (IY+d)    |    H | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,H=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
2d | 1 | 2 | SRA  | LD L, SRA (IY+d)    |    L | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,L=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
2e | 1 | 2 | SRA  | SRA (IY+d)          |      |        | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1           | Shift right-arithmetic memory $(IY+{d})
2f | 1 | 2 | SRA  | LD A, SRA (IY+d)    |    A | (IY+d) | ($(IY+d),c)=($(IY+d):8,$(IY+d))>>1,A=$(IY+d) | Shift right-arithmetic memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
30 | 1 | 2 | SLL  | LD B, SLL (IY+d)    |    B | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,B=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
31 | 1 | 2 | SLL  | LD C, SLL (IY+d)    |    C | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,C=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
32 | 1 | 2 | SLL  | LD D, SLL (IY+d)    |    D | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,D=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
33 | 1 | 2 | SLL  | LD E, SLL (IY+d)    |    E | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,E=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
34 | 1 | 2 | SLL  | LD H, SLL (IY+d)    |    H | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,H=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
35 | 1 | 2 | SLL  | LD L, SLL (IY+d)    |    L | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,L=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
36 | 1 | 2 | SLL  | SLL (IY+d)          |      |        | (c,$(IY+d))=($(IY+d),1)<<1                   | Shift left-logical memory $(IY+{d})
37 | 1 | 2 | SLL  | LD A, SLL (IY+d)    |    A | (IY+d) | (c,$(IY+d))=($(IY+d),1)<<1,A=$(IY+d)         | Shift left-logical memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
38 | 1 | 2 | SRL  | LD B, SRL (IY+d)    |    B | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,B=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
39 | 1 | 2 | SRL  | LD C, SRL (IY+d)    |    C | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,C=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
3a | 1 | 2 | SRL  | LD D, SRL (IY+d)    |    D | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,D=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
3b | 1 | 2 | SRL  | LD E, SRL (IY+d)    |    E | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,E=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
3c | 1 | 2 | SRL  | LD H, SRL (IY+d)    |    H | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,H=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
3d | 1 | 2 | SRL  | LD L, SRL (IY+d)    |    L | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,L=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
3e | 1 | 2 | SRL  | SRL (IY+d)          |      |        | ($(IY+d),c)=(0,$(IY+d))>>1                   | Shift right-logical memory $(IY+{d})
3f | 1 | 2 | SRL  | LD A, SRL (IY+d)    |    A | (IY+d) | ($(IY+d),c)=(0,$(IY+d))>>1,A=$(IY+d)         | Shift right-logical memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
40 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
41 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
42 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
43 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
44 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
45 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
46 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d})
47 | 1 | 2 | BIT  | BIT 0, $(IY+d)      |      |        | z=~$(IY+d):0                                 | Test bit 0 of memory $(IY+{d}) (undocumented)
48 | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
49 | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
4a | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
4b | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
4c | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
4d | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
4e | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d})
4f | 1 | 2 | BIT  | BIT 1, $(IY+d)      |      |        | z=~$(IY+d):1                                 | Test bit 1 of memory $(IY+{d}) (undocumented)
50 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
51 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
52 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
53 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
54 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
55 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
56 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d})
57 | 1 | 2 | BIT  | BIT 2, $(IY+d)      |      |        | z=~$(IY+d):2                                 | Test bit 2 of memory $(IY+{d}) (undocumented)
58 | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
59 | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
5a | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
5b | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
5c | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
5d | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
5e | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d})
5f | 1 | 2 | BIT  | BIT 3, $(IY+d)      |      |        | z=~$(IY+d):3                                 | Test bit 3 of memory $(IY+{d}) (undocumented)
60 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
61 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
62 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
63 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
64 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
65 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
66 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d})
67 | 1 | 2 | BIT  | BIT 4, $(IY+d)      |      |        | z=~$(IY+d):4                                 | Test bit 4 of memory $(IY+{d}) (undocumented)
68 | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
69 | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
6a | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
6b | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
6c | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
6d | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
6e | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d})
6f | 1 | 2 | BIT  | BIT 5, $(IY+d)      |      |        | z=~$(IY+d):5                                 | Test bit 5 of memory $(IY+{d}) (undocumented)
70 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
71 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
72 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
73 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
74 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
75 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
76 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d})
77 | 1 | 2 | BIT  | BIT 6, $(IY+d)      |      |        | z=~$(IY+d):6                                 | Test bit 6 of memory $(IY+{d}) (undocumented)
78 | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
79 | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
7a | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
7b | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
7c | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
7d | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
7e | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d})
7f | 1 | 2 | BIT  | BIT 7, $(IY+d)      |      |        | z=~$(IY+d):7                                 | Test bit 7 of memory $(IY+{d}) (undocumented)
80 | 1 | 2 | RES  | LD B, RES 0, (IY+d) |    B | (IY+d) | $(IY+d):0=0,B=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
81 | 1 | 2 | RES  | LD C, RES 0, (IY+d) |    C | (IY+d) | $(IY+d):0=0,C=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
82 | 1 | 2 | RES  | LD D, RES 0, (IY+d) |    D | (IY+d) | $(IY+d):0=0,D=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
83 | 1 | 2 | RES  | LD E, RES 0, (IY+d) |    E | (IY+d) | $(IY+d):0=0,E=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
84 | 1 | 2 | RES  | LD H, RES 0, (IY+d) |    H | (IY+d) | $(IY+d):0=0,H=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
85 | 1 | 2 | RES  | LD L, RES 0, (IY+d) |    L | (IY+d) | $(IY+d):0=0,L=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
86 | 1 | 2 | RES  | RES 0, (IY+d)       |      |        | $(IY+d):0=0                                  | Reset bit 0 of memory $(IY+{d})
87 | 1 | 2 | RES  | LD A, RES 0, (IY+d) |    A | (IY+d) | $(IY+d):0=0,A=$(IY+d)                        | Reset bit 0 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
88 | 1 | 2 | RES  | LD B, RES 1, (IY+d) |    B | (IY+d) | $(IY+d):1=0,B=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
89 | 1 | 2 | RES  | LD C, RES 1, (IY+d) |    C | (IY+d) | $(IY+d):1=0,C=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
8a | 1 | 2 | RES  | LD D, RES 1, (IY+d) |    D | (IY+d) | $(IY+d):1=0,D=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
8b | 1 | 2 | RES  | LD E, RES 1, (IY+d) |    E | (IY+d) | $(IY+d):1=0,E=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
8c | 1 | 2 | RES  | LD H, RES 1, (IY+d) |    H | (IY+d) | $(IY+d):1=0,H=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
8d | 1 | 2 | RES  | LD L, RES 1, (IY+d) |    L | (IY+d) | $(IY+d):1=0,L=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
8e | 1 | 2 | RES  | RES 1, (IY+d)       |      |        | $(IY+d):1=0                                  | Reset bit 1 of memory $(IY+{d})
8f | 1 | 2 | RES  | LD A, RES 1, (IY+d) |    A | (IY+d) | $(IY+d):1=0,A=$(IY+d)                        | Reset bit 1 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
